,fidelity
DP_0001_25,0.9987840273837931
DP_0001_35,0.9981506267670615
DP_0001_45,0.9979683760709495
DP_0001_55,0.9967781563322017
DP_0001_65,0.9969013665876119
DP_0001_75,0.9957810734895327
DP_0001_85,0.9961408936975625
DP_0001_95,0.9945746360171639
DP_0001_105,0.9948733021249698
DP_0001_115,0.9947100858488376
DP_0001_125,0.9944408886032431
DP_0001_135,0.9927122058023127
DP_0001_145,0.9924828199249854
DP_0001_155,0.9922147316929043
DP_0001_165,0.9915904101904794
DP_0001_175,0.9908882257755854
DP_0001_185,0.9910457687419474
DP_0001_195,0.9897128665151391
DP_0001_205,0.9900565395837809
DP_0001_215,0.9899388961333319
DP_0001_300,0.9846873463689437
DP_0001_500,0.9749044362240347
DP_0001_700,0.9652029407435169
DP_0001_900,0.9545774090050665
DP_0005_25,0.9936905680766808
DP_0005_35,0.9908073486862595
DP_0005_45,0.9903135485034197
DP_0005_55,0.9868576950315767
DP_0005_65,0.9845674892606635
DP_0005_75,0.9825564470229113
DP_0005_85,0.9781077242231667
DP_0005_95,0.9750043356654606
DP_0005_105,0.9741689196943087
DP_0005_115,0.9712275279618318
DP_0005_125,0.967745501751668
DP_0005_135,0.9687390085144427
DP_0005_145,0.9626594700193908
DP_0005_155,0.9604620255394422
DP_0005_165,0.9602624896632908
DP_0005_175,0.9573483074944938
DP_0005_185,0.9544818759452408
DP_0005_195,0.9510341689673083
DP_0005_205,0.9459375156568537
DP_0005_215,0.9458487890646817
DP_0005_300,0.9249883213359464
DP_0005_500,0.8784809316235968
DP_0005_700,0.8313103898496095
DP_0005_900,0.7902677930551828
DP_001_25,0.9889955174201356
DP_001_35,0.9829879177588543
DP_001_45,0.9788239685266309
DP_001_55,0.9744665405025844
DP_001_65,0.9682517010640932
DP_001_75,0.9633932871658688
DP_001_85,0.9599677309600105
DP_001_95,0.9520395617419433
DP_001_105,0.9476563800265794
DP_001_115,0.9426541947471297
DP_001_125,0.9384468875115235
DP_001_135,0.9316911224816568
DP_001_145,0.9294367710608009
DP_001_155,0.9256556221861356
DP_001_165,0.9186528874587014
DP_001_175,0.9164830315075148
DP_001_185,0.9102847647188435
DP_001_195,0.9038738337025163
DP_001_205,0.9035317506514338
DP_001_215,0.8945933618673739
DP_001_300,0.8555818677463476
DP_001_500,0.7720947059980287
DP_001_700,0.6890652487552742
DP_001_900,0.6211306220780117
DP_003_25,0.9651245232082296
DP_003_35,0.9480134474024351
DP_003_45,0.9376921389123096
DP_003_55,0.9210882960437295
DP_003_65,0.9076970386723946
DP_003_75,0.8942667978507377
DP_003_85,0.8811486274821241
DP_003_95,0.8712045833121913
DP_003_105,0.8506912416840714
DP_003_115,0.836726955560253
DP_003_125,0.8290872023251811
DP_003_135,0.8151842492459284
DP_003_145,0.8010043959932286
DP_003_155,0.7891477167044014
DP_003_165,0.7697582552069128
DP_003_175,0.764146421585655
DP_003_185,0.7539858592092566
DP_003_195,0.7345474501148493
DP_003_205,0.729403745655429
DP_003_215,0.7132048375430401
DP_003_300,0.6247595492666533
DP_003_500,0.4556104965041775
DP_003_700,0.33502058612931235
DP_003_900,0.24829682674570683
